procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6139480 1659824 16484528    0    0     0     0 3124 4987 35  0 65  0  0 2018-03-21 09:04:21
 7  0  16592 6144080 1659824 16484536    0    0     0     5 3018 3349 31  0 69  0  0 2018-03-21 09:04:22
 7  0  16592 6143104 1659824 16484564    0    0     0   321 3084 5801 34  0 66  0  0 2018-03-21 09:04:23
 8  0  16592 6138712 1659828 16484576    0    0     0   152 2937 3397 31  0 69  0  0 2018-03-21 09:04:24
 7  0  16592 6148604 1659828 16484596    0    0     0     0 2954 6005 32  0 68  0  0 2018-03-21 09:04:25
 7  0  16592 6148420 1659828 16484604    0    0     0    10 2888 3243 30  0 70  0  0 2018-03-21 09:04:26
 7  0  16592 6143604 1659828 16484612    0    0     0     0 3127 5950 34  0 66  0  0 2018-03-21 09:04:27
 8  0  16592 6147668 1659832 16484612    0    0     0   304 2838 2791 31  0 69  0  0 2018-03-21 09:04:28
 7  0  16592 6148944 1659840 16484656    0    0     0    68 2904 5083 31  0 68  0  0 2018-03-21 09:04:29
 7  0  16592 6147252 1659840 16484660    0    0     0     1 2849 2731 31  0 68  0  0 2018-03-21 09:04:30
 7  0  16592 6147196 1659840 16484692    0    0     0    34 2920 6309 31  0 69  0  0 2018-03-21 09:04:31
 7  0  16592 6148984 1659840 16484680    0    0     0     0 2775 3036 30  0 70  0  0 2018-03-21 09:04:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6148108 1659840 16484704    0    0     0    18 3155 8549 33  0 67  0  0 2018-03-21 09:04:33
 7  0  16592 6155236 1659844 16484720    0    0     0   119 2913 2550 30  0 70  0  0 2018-03-21 09:04:34
12  1  16592 6155272 1659844 16484756    0    0     0     4 3052 5582 32  0 68  0  0 2018-03-21 09:04:35
 7  0  16592 6153824 1659844 16484776    0    0     0     0 2903 3331 32  0 68  0  0 2018-03-21 09:04:36
 8  0  16592 6153608 1659844 16484784    0    0     0    53 3003 4430 33  0 67  0  0 2018-03-21 09:04:37
 7  0  16592 6150196 1659844 16484808    0    0     0     1 3065 4313 33  0 67  0  0 2018-03-21 09:04:38
 6  1  16592 6149132 1659844 16484820    0    0     0     7 2905 3211 30  0 69  0  0 2018-03-21 09:04:39
 7  0  16592 6151348 1659848 16484856    0    0     0    28 3058 6132 31  0 69  1  0 2018-03-21 09:04:41
 7  0  16592 6150852 1659848 16484844    0    0     0     9 2844 3038 31  0 68  0  0 2018-03-21 09:04:42
 7  0  16592 6154508 1659848 16484872    0    0     0    18 2972 5165 33  0 67  0  0 2018-03-21 09:04:43
 9  0  16592 6153940 1659848 16484884    0    0     0    66 2782 2485 30  0 70  0  0 2018-03-21 09:04:44
 7  0  16592 6154276 1659848 16484920    0    0     0   160 3046 5907 33  0 67  0  0 2018-03-21 09:04:45
 7  1  16592 6153176 1659856 16484952    0    0     0  2320 3246 3380 30  0 68  2  0 2018-03-21 09:04:46
 7  0  16592 6152236 1659856 16484992    0    0     0    30 2989 6263 32  0 68  0  0 2018-03-21 09:04:47
 7  0  16592 6152576 1659856 16485012    0    0     0    54 2791 2537 30  0 70  0  0 2018-03-21 09:04:48
 7  0  16592 6151648 1659856 16485032    0    0     0     1 2818 4512 31  0 69  0  0 2018-03-21 09:04:49
 7  0  16592 6146880 1659856 16485036    0    0     0   145 2962 3049 31  0 69  0  0 2018-03-21 09:04:50
 7  0  16592 6146376 1659856 16485084    0    0     0    50 2962 5734 31  0 69  0  0 2018-03-21 09:04:51
 7  0  16592 6139840 1659856 16485084    0    0     0   118 2892 2413 31  0 69  0  0 2018-03-21 09:04:52
 8  0  16592 6139820 1659856 16485108    0    0     0    18 3027 5592 32  0 67  0  0 2018-03-21 09:04:53
 8  0  16592 6139428 1659856 16485108    0    0     0     1 2757 2107 30  0 70  0  0 2018-03-21 09:04:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 8  0  16592 6129100 1659856 16485108    0    0     0   654 3071 5258 32  0 68  0  0 2018-03-21 09:04:55
 9  0  16592 6128084 1659856 16485148    0    0     0     7 2905 2819 30  0 70  0  0 2018-03-21 09:04:56
 7  0  16592 6125584 1659860 16485160    0    0     0    81 2897 5385 30  0 69  0  0 2018-03-21 09:04:57
 7  0  16592 6123100 1659860 16485176    0    0     0     1 3097 5827 32  0 68  0  0 2018-03-21 09:04:58
 8  0  16592 6122600 1659860 16485192    0    0     0     0 2771 3185 30  0 70  0  0 2018-03-21 09:04:59
